0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Yarrow,Achillea millefolium,Achillea,N,Existing (enriched),Native,Native to N. America incl. Upper Midwest (note: much nursery stock is European genotype).,Central USA Plains,achillea_millefolium,,flower,spreading mat,,fine,2,3,2,2,"full sun, part sun",dry,"rocky/poor, average, clay, sand","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,FALSE,Intermediate,,0,3,"yellow, orange, white","Late Spring, Early Summer, Mid Summer, Late Summer",green,,,attractive seedheads,,moderate growth; moderate-lived; perennial,"Flat-topped white flower clusters over ferny, aromatic foliage; tough, drought-proof, and alive with small beneficial insects.","Fern like foilage, flat flower heads",,,,,,,,,,,,,Sweat bees (Halictidae); mining bees (Andrenidae); predatory & paper wasps; hoverflies (Syrphidae); beetles; small butterflies,6,CR  (Competitive-Ruderal),"Rhizomatous mat-former that colonizes disturbed, poor, dry ground and reseeds freely; vigorous lateral spread (C) plus disturbance tolerance (R). Low fidelity to intact habitat (low C-value).",Monarda fistulosa; Rudbeckia hirta; Solidago rugosa 'Fireworks',Schizachyrium scoparium; Asclepias tuberosa; Echinacea purpurea,Liatris spicata (mid-summer spikes); Symphyotrichum novae-angliae (fall); Sporobolus heterolepis (fall seedheads),,,,
Black Cohosh,Actaea racemosa,Actaea,N,Existing (enriched),Native,Native to eastern N. America; range margin reaches IL/IN.,Central USA Plains,actaea_racemosa,,flower,clump,,bold,4,6,2,4,"part shade, full shade",average,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,FALSE,,,,,white,"Mid Summer, Late Summer",,,,,,perennial,"Tall white bottlebrush spires rise above dark, divided foliage — a dramatic vertical accent for rich, shaded soil.",,,,,,,,,,,,,,Bumblebees; sweat bees; flies (scent-attracted); beetles,4,CS  (Competitor-Stress-tolerator),"Long-lived rhizomatous woodland perennial of rich, moist shade; slow to establish but persistent and large (S with C in fertile soils). High habitat fidelity.",Hydrangea arborescens; Eutrochium maculatum; Polygonatum commutatum,Tiarella cordifolia; Asarum canadense; Polystichum acrostichoides,Mertensia virginica (spring ephemeral); Phlox divaricata (spring); Polystichum acrostichoides (evergreen winter),,,,
Anise Hyssop,Agastache foeniculum,Agastache,N,Existing (enriched),Native,Native to northern prairies incl. Upper Midwest.,Central USA Plains,agastache_foeniculum,,flower,upright clump,,,2,3,1,2,"full sun, part sun",moist/well-drained,"average, well-drained","4a, 5b, 6a, 6b, 7a, 5a, 7b, 8a, 8b",FALSE,FALSE,,,,,purple,"Mid Summer, Early Summer, Late Summer",,,,,,perennial,Anise-scented foliage topped with soft lavender spikes; a long-blooming nectar magnet for bees and butterflies.,,,,,,,,,,,,,,Bumblebees; honey bees; leafcutter bees (Megachile); green sweat bees (Agapostemon); butterflies; skippers; occasional hummingbirds,7,CSR / CR-leaning,"Fast-growing, free-reseeding sun perennial of well-drained soils; resource-responsive growth (C) with strong ruderal recruitment (R), moderate longevity.",Rudbeckia hirta; Monarda fistulosa; Echinacea purpurea,Echinacea purpurea; Pycnanthemum virginianum; Liatris spicata,Penstemon digitalis (early summer); Symphyotrichum novae-angliae (fall); Schizachyrium scoparium (fall color),,,,
Ornamental Onion,Allium,Allium,N,Existing (enriched),Congener - non-native,Ornamental Allium; same genus as native A. cernuum / A. canadense.,Central USA Plains,allium,,flower,clump,,,2,3,2,2,"full sun, part sun","dry, average","average, well-drained","4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,,,,,"purple, pink",Mid Summer,,,,,,,Globe-shaped flower heads on slender stems; an ornamental onion that adds structural pops and draws foraging bees.,,,,,,,,,,,,,,Honey bees; bumblebees; sweat bees; occasional butterflies & flies,4,S / CSR,"Bulbous geophyte; drought- and stress-tolerant, storing resources to ride out dry periods (S). Most ornamental selections are non-aggressive clumpers.",Nepeta x faassenii; Hylotelephium 'Autumn Joy'; Sporobolus heterolepis,Hylotelephium 'Autumn Joy'; Schizachyrium scoparium; Bouteloua curtipendula,Amsonia hubrichtii (gold fall foliage); Symphyotrichum novae-angliae (fall); spring minor bulbs,,,,
Arkansas Blue Star,Amsonia hubrichtii,Amsonia,N,Existing (enriched),Congener - near-region,US native of the Ouachita/Ozark uplands (nearest ecological unit); same genus as lower-Midwest natives A. tabernaemontana / A. illustris.,Southeastern USA Plains,amsonia_hubrichtii,,flower,mound,,,2,3,2,3,full sun,"dry, average","average, well-drained","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,FALSE,,,,,light blue,"Mid Spring, Late Spring","gold, yellow","Mid Fall, Late Fall",,"fine texture, deer resistant, fall color",,perennial,"Fine thread-like foliage forms a soft mound topped with pale-blue spring stars, then turns brilliant gold in fall.",,,,,,,,,,,,,,Bumblebees; carpenter bees; butterflies; clearwing/sphinx moths; bee flies,5,CS  (Competitor-Stress-tolerator),"Long-lived, deep-rooted clump that is drought- and neglect-tolerant once established (S) yet builds a substantial mounding mass (C). Slow but enduring.",Baptisia australis; Sporobolus heterolepis; Echinacea purpurea,Baptisia australis; Schizachyrium scoparium; Echinacea purpurea,Allium (early); little bluestem & New England aster (fall) to echo Amsonia's gold fall foliage,,,,
Eastern Columbine,Aquilegia canadensis,Aquilegia,N,Existing (enriched),Native,Native to eastern N. America incl. Upper Midwest.,Eastern Mixed Wood Plains,aquilegia_canadensis,,flower,mound,see-through,gray green,2,4,1,2,"full sun, full shade, part shade","dry, moist/well-drained, average","rocky/poor, clay","3a, 3b, 4a, 5a, 5b, 6a, 6b, 4b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,6,1,"red, pink","Mid Spring, Late Spring",,,,pollinator friendly,"woodland, container","Short-lived plant, will live for 3-4 years but will reseed throughout the garden","Woodland edge and rocky outbank perennial that works well with smaller, low plants.",Will not survive with taller competition. Flowers are a critical food source for returning ruby-throated hummingbirds in spring and are also visited by bumblebees and hawk moths for the nectar and other bees for the pollen. ,"On younger plants, deadheading can prolong bloom time. Deadleafing keeps apprearnce clean. Plants can be cut to the ground for a refresh and will grow new foilage. This may take several weeks, especially in dry condiditons. Avoid locations with hot afternoon sun. ",,,,Deadhead to lateral flower buds as needed to encourage more blooms,Deadhead to lateral flower buds as needed to encourage more blooms,Cut old flowering stems to the ground when all flowering is finished and the stem has dried out. Dead leaf any damaged leaves and cutback to ground if the plant looks ragged. It will flush out new growth. ,Cut old flowering stems to the ground when all flowering is finished and the stem has dried out. Deadleaf any damaged leaves and cutback to ground if the plant looks ragged. It will flush out new growth. ,Deadleaf any damaged leaves and cutback to ground if the plant looks ragged. It will flush out new growth. ,Deadleaf any damaged leaves and cutback to ground if the plant looks ragged. It will flush out new growth. ,,,Ruby-throated hummingbird (primary); bumblebees; hawk moths; halictid bees (pollen),4,SR / CSR  (Stress-tolerant Ruderal),"Short-lived (3-4 yr) reseeder of rocky outcrops and woodland edges; cannot persist under taller competition (low C, per sheet) but recruits readily from seed (R) in stressful thin soils (S).",Heuchera villosa 'Autumn Bride'; Carex rosea; Phlox divaricata,Heuchera villosa 'Autumn Bride'; Carex rosea; Phlox divaricata,Heuchera (late-summer bloom); Polystichum (evergreen winter); Carex rosea (fine texture all season),,,,
Woodland Phlox,Phlox divaricata,Phlox,N,Existing (enriched),Native,Native to eastern N. America incl. Upper Midwest.,Eastern Mixed Wood Plains,phlox_divaricata,,flower,mound,spray,fine,1,1,1,1,"part shade, part sun",moist/well-drained,high organic,"5a, 5b, 6a, 4a, 4b, 6b, 7a, 7b, 8a, 8b",FALSE,FALSE,,,5,3,"blue, purple, white","Mid Spring, Late Spring",,,,border,woodland,perennial,"Light blue, white and lavendar flowers. Flowers best in part sun conditions.",,Plant in spring to avoid winter frost heaving. ,,,,,"Using hedge sheers, cut off any browning flowering stems down to the green foilage","Using hedge sheers, cut off any browning flowering stems down to the green foilage. In hot, humid conditions, Phlox divaricata may develop powdery mildew. Shear down to promote lush, new growth. If allowed to dry out in the summer or if given too much sun the foilage may die back.","In hot, humid conditions, Phlox divaricata may develop powdery mildew. Shear down to promote lush, new growth. If allowed to dry out in the summer or if given too much sun the foilage may die back.","In hot, humid conditions, Phlox divaricata may develop powdery mildew. Shear down to promote lush, new growth. If allowed to dry out in the summer or if given too much sun the foilage may die back.",,,,Butterflies; skippers; sphinx/hawk moths; bee flies (Bombylius); bumblebees; long-tongued bees,6,CS / CSR,"Stoloniferous woodland mat that knits a modest groundcover layer (mild C) under shade, persisting in rich moist soils (S); spreads slowly, not aggressive.",Tiarella cordifolia; Heuchera villosa 'Autumn Bride'; Geranium maculatum,Tiarella cordifolia; Asarum canadense; Mertensia virginica,Actaea racemosa (summer); Polystichum acrostichoides (evergreen winter); Heuchera (fall foliage),,,,
Early Meadow Rue,Thalictrum dioicum,Thalictrum,N,Existing (enriched),Native,Native to eastern N. America incl. Upper Midwest.,Eastern Mixed Wood Plains,thalictrum_dioicum,,flower,mound,,fine,1,2,1,2,"part shade, full shade",moist/well-drained,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a",FALSE,FALSE,,,7,2,"green, yellow","Early Spring, Mid Spring",,,,"textural, deer resistant",woodland,perennial,"Delicate, columbine-like foliage; airy early-spring woodland accent.",,,,,,,,,,,,,,"WIND-POLLINATED & dioecious - negligible insect pollination; occasional pollen-collecting bees on male plants. Value is foliage/structure, not pollinator forage.",0,CS / S  (woodland Stress-tolerator),"Long-lived, fine-textured woodland perennial of rich shade; persists in stable, resource-limited understory (S) with modest spread.",Carex rosea; Aquilegia canadensis; Phlox divaricata,Polystichum acrostichoides; Asarum canadense; Mertensia virginica,"Pairs early-spring filigree with later woodlanders: Actaea racemosa (summer), Tiarella cordifolia (spring-summer)",,,,
"Coral Bells, Hairy Alumroot",Heuchera villosa 'autumn bride',Heuchera,Y,Existing (enriched),Native cultivar,"Selection of H. villosa, native to eastern US (Appalachian/near-region).",Eastern Mixed Wood Plains,heuchera_villosa_'autumn_bride',,flower,mound,vertical,"bold, evergreen",1,2,1,2,"full sun, part sun","dry, average",,"3a, 3b, 4a, 4b, 5a, 8b, 8a, 7b, 7a, 6b, 6a, 5b",FALSE,TRUE,,,,,white,"Late Summer, Early Fall, Mid Fall, Late Fall",,,,,"woodland, container",perennial,"Large, fuzzy lime-green leaves with big clouds of small white flowers ","Exceptional heat and humidity tolerance,","Provide consisten moisture while plugs are being established, then run them on the drier side. Performs best in part shade. Spring is optimal planting time. Divide every few years to maintain their vigor.",,Deadleaf and sheer off any damaged leaves and dead flower stalks. Divide every three years to maintain vigor.,,,,,,,,Apply a layer of mulch around plant to prevent frost heaving,,Small sweat bees (Halictidae); hoverflies; occasional hummingbirds & wasps,3,S / CS,"Tough, heat/humidity-tolerant clump with semi-evergreen foliage; persists on lean, dry-to-average soils (S) building a solid leaf mound (mild C).",Carex rosea; Aquilegia canadensis; Tiarella cordifolia,Carex pensylvanica; Aquilegia canadensis; Polystichum acrostichoides,Phlox divaricata & Mertensia virginica (spring); Actaea racemosa (summer); foliage holds through winter,,,,
Rosy Sedge,Carex rosea,Carex,N,Existing (enriched),Native,Native to eastern N. America incl. Upper Midwest.,Eastern Mixed Wood Plains,carex_rosea,,sedge,mound,,"evergreen, fine",1,1,1,1,"full sun, part sun, part shade","dry, average",,"3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,FALSE,,,4,5,,"Late Spring, Mid Spring",,,,"groundcover, textural, border",woodland,,"Finely textured, shade tolerant ",,,,,,,,,,,,,,"WIND-POLLINATED - no pollinator nectar value. Ecological value is larval host for sedge-feeding skippers & satyrs (e.g., dun skipper, wood-nymphs) plus ground cover/structure.",0,CS / CSR  (shade groundcover sedge),"Fine, shade-tolerant clumping sedge of dry-to-average woodland soils; persistent, low-competition cover (S with mild C as it knits in).",Heuchera villosa 'Autumn Bride'; Aquilegia canadensis; Phlox divaricata,Polystichum acrostichoides; Aquilegia canadensis; Heuchera villosa 'Autumn Bride',"Fine texture all season; pair with spring ephemerals (Mertensia, Thalictrum) and summer Actaea",,,,
